,0,1,2,3,4,5,6,7,8,9,10,11,12,13
96,0,0.022,0.541,0.962,0.996,0.996,0.996,0.996,1,,,,,
97,0,0.022,0.541,0.962,0.996,0.996,0.996,0.996,1,,,,,
98,0,0.022,0.541,0.962,0.996,0.996,0.996,0.996,1,,,,,
99,0,0.022,0.541,0.962,0.996,0.996,0.996,0.996,1,,,,,
100,0,0.188,0.394,0.438,0.454,0.5,0.611,0.816,0.862,0.919,0.947,0.965,1,
101,0,0.188,0.394,0.438,0.454,0.5,0.611,0.816,0.862,0.919,0.947,0.965,1,
102,0,0.188,0.394,0.438,0.454,0.5,0.611,0.816,0.862,0.919,0.947,0.965,1,
103,0,0.188,0.394,0.438,0.454,0.5,0.611,0.816,0.862,0.919,0.947,0.965,1,
104,0,0.188,0.394,0.438,0.454,0.5,0.611,0.816,0.862,0.919,0.947,0.965,1,
105,0,0.188,0.394,0.438,0.454,0.5,0.611,0.816,0.862,0.919,0.947,0.965,1,
106,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
107,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
108,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
109,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
110,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
111,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
112,0,0.225,0.398,0.443,0.463,0.511,0.618,0.82,0.865,0.922,0.949,0.965,1,
113,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
114,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
115,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
116,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
117,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
118,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
119,0,0.187,0.398,0.436,0.455,0.504,0.615,0.82,0.866,0.921,0.949,0.965,1,
120,0,0.226,0.396,0.443,0.468,0.519,0.631,0.827,0.87,0.921,0.949,0.965,1,
121,0,0.226,0.396,0.443,0.468,0.519,0.631,0.827,0.87,0.921,0.949,0.965,1,
122,0,0.226,0.396,0.443,0.468,0.519,0.631,0.827,0.87,0.921,0.949,0.965,1,
123,0,0.226,0.396,0.443,0.468,0.519,0.631,0.827,0.87,0.921,0.949,0.965,1,
124,0,0.226,0.396,0.443,0.468,0.519,0.631,0.827,0.87,0.921,0.949,0.965,1,
125,0,0.082,0.194,0.418,0.536,0.627,0.785,0.865,0.939,0.963,0.963,0.982,0.997,1
126,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
127,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
128,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
129,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
130,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
131,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
132,0,0.08,0.192,0.418,0.535,0.635,0.788,0.87,0.94,0.964,0.964,0.983,0.996,1
133,0,0.086,0.195,0.378,0.493,0.6,0.731,0.836,0.934,0.957,0.957,0.978,0.993,1
134,0,0.086,0.195,0.378,0.493,0.6,0.731,0.836,0.934,0.957,0.957,0.978,0.993,1
135,0,0.086,0.195,0.378,0.493,0.6,0.731,0.836,0.934,0.957,0.957,0.978,0.993,1
136,0,0.086,0.195,0.378,0.493,0.6,0.731,0.836,0.934,0.957,0.957,0.978,0.993,1
137,0,0.086,0.195,0.378,0.493,0.6,0.731,0.836,0.934,0.957,0.957,0.978,0.993,1
138,0,0.086,0.195,0.378,0.493,0.6,0.731,0.836,0.934,0.957,0.957,0.978,0.993,1
139,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
140,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
141,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
142,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
143,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
144,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
145,0,0.081,0.194,0.387,0.498,0.603,0.754,0.84,0.938,0.962,0.962,0.981,0.996,1
146,0,0.088,0.203,0.384,0.497,0.595,0.663,0.838,0.947,0.957,0.977,0.977,0.996,1
147,0,0.088,0.203,0.384,0.497,0.595,0.663,0.838,0.947,0.957,0.977,0.977,0.996,1
148,0,0.088,0.203,0.384,0.497,0.595,0.663,0.838,0.947,0.957,0.977,0.977,0.996,1
149,0,0.088,0.203,0.384,0.497,0.595,0.663,0.838,0.947,0.957,0.977,0.977,0.996,1
150,0,0.043,0.19,0.325,0.489,0.626,0.805,0.873,0.907,0.921,0.939,0.976,1,
151,0,0.043,0.19,0.325,0.489,0.626,0.805,0.873,0.907,0.921,0.939,0.976,1,
152,0,0.044,0.189,0.327,0.492,0.628,0.807,0.874,0.908,0.921,0.939,0.976,1,
153,0,0.044,0.189,0.327,0.492,0.628,0.807,0.874,0.908,0.921,0.939,0.976,1,
154,0,0.044,0.189,0.327,0.492,0.628,0.807,0.874,0.908,0.921,0.939,0.976,1,
