,average value,variance 1D,y axis variance,pressure value ratio as 3,points ratio as 3,target
2058,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2059,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2060,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2061,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2062,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2063,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2064,226.97826086956522,42374.19517958411,19.09405255986129,0.344,0.326,1.0
2065,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2066,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2067,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2068,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2069,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2070,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2071,229.60869565217385,42111.28166351607,19.27503624104175,0.34,0.326,1.0
2072,235.8444444444445,42426.575802469124,19.44052673001238,0.339,0.333,1.0
2073,235.8444444444445,42426.575802469124,19.44052673001238,0.339,0.333,1.0
2074,235.8444444444445,42426.575802469124,19.44052673001238,0.339,0.333,1.0
2075,206.6491228070175,17574.12249923052,18.217771138603993,0.362,0.316,1.0
2076,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2077,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2078,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2079,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2080,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2081,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2082,203.98275862068965,17508.292806183115,18.098889967441544,0.364,0.328,1.0
2083,199.54237288135596,17452.417696064356,18.173673399037337,0.366,0.339,1.0
2084,199.54237288135596,17452.417696064356,18.173673399037337,0.366,0.339,1.0
2085,199.54237288135596,17452.417696064356,18.173673399037337,0.366,0.339,1.0
2086,199.54237288135596,17452.417696064356,18.173673399037337,0.366,0.339,1.0
2087,199.54237288135596,17452.417696064356,18.173673399037337,0.366,0.339,1.0
2088,199.54237288135596,17452.417696064356,18.173673399037337,0.366,0.339,1.0
2089,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2090,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2091,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2092,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2093,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2094,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2095,199.2203389830508,17283.832806664752,18.19126469575999,0.366,0.339,1.0
2096,200.9830508474576,17288.355644929616,18.058994760936898,0.371,0.356,1.0
2097,200.9830508474576,17288.355644929616,18.058994760936898,0.371,0.356,1.0
2098,200.9830508474576,17288.355644929616,18.058994760936898,0.371,0.356,1.0
2099,200.9830508474576,17288.355644929616,18.058994760936898,0.371,0.356,1.0
2100,187.17241379310346,22927.65992865636,14.53543200728068,0.59,0.397,1.0
2101,187.17241379310346,22927.65992865636,14.53543200728068,0.59,0.397,1.0
2102,187.58620689655172,23129.03567181927,14.389886326773357,0.59,0.397,1.0
2103,187.58620689655172,23129.03567181927,14.389886326773357,0.59,0.397,1.0
2104,187.58620689655172,23129.03567181927,14.389886326773357,0.59,0.397,1.0
2105,187.58620689655172,23129.03567181927,14.389886326773357,0.59,0.397,1.0
2106,187.58620689655172,23129.03567181927,14.389886326773357,0.59,0.397,1.0
2107,187.58620689655172,23129.03567181927,14.389886326773357,0.59,0.397,1.0
2108,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2109,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2110,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2111,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2112,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2113,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2114,184.72881355932194,22829.553576558457,14.365215834862253,0.587,0.39,1.0
2115,190.42105263157893,22930.20867959373,14.517830432017789,0.589,0.404,1.0
2116,190.42105263157893,22930.20867959373,14.517830432017789,0.589,0.404,1.0
2117,190.42105263157893,22930.20867959373,14.517830432017789,0.589,0.404,1.0
2118,190.42105263157893,22930.20867959373,14.517830432017789,0.589,0.404,1.0
2119,190.42105263157893,22930.20867959373,14.517830432017789,0.589,0.404,1.0
2120,190.42105263157893,22930.20867959373,14.517830432017789,0.589,0.404,1.0
2121,188.91379310344828,22821.42360285374,14.598726297791622,0.589,0.397,1.0
2122,188.91379310344828,22821.42360285374,14.598726297791622,0.589,0.397,1.0
2123,188.91379310344828,22821.42360285374,14.598726297791622,0.589,0.397,1.0
2124,188.91379310344828,22821.42360285374,14.598726297791622,0.589,0.397,1.0
2125,239.22222222222226,33456.26172839506,14.682466845967637,0.459,0.356,1.0
2126,239.22222222222226,33456.26172839506,14.682466845967637,0.459,0.356,1.0
2127,239.77777777777774,33322.839506172844,14.688261974969102,0.458,0.356,1.0
2128,239.77777777777774,33322.839506172844,14.688261974969102,0.458,0.356,1.0
2129,239.77777777777774,33322.839506172844,14.688261974969102,0.458,0.356,1.0
2130,239.77777777777774,33322.839506172844,14.688261974969102,0.458,0.356,1.0
2131,239.77777777777774,33322.839506172844,14.688261974969102,0.458,0.356,1.0
2132,239.77777777777774,33322.839506172844,14.688261974969102,0.458,0.356,1.0
2133,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2134,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2135,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2136,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2137,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2138,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2139,243.9318181818182,33557.381714876035,14.758833899294277,0.455,0.341,1.0
2140,249.3720930232558,33338.97782585181,14.758651762387725,0.453,0.326,1.0
2141,249.3720930232558,33338.97782585181,14.758651762387725,0.453,0.326,1.0
2142,249.3720930232558,33338.97782585181,14.758651762387725,0.453,0.326,1.0
2143,249.3720930232558,33338.97782585181,14.758651762387725,0.453,0.326,1.0
2144,249.3720930232558,33338.97782585181,14.758651762387725,0.453,0.326,1.0
2145,249.3720930232558,33338.97782585181,14.758651762387725,0.453,0.326,1.0
2146,249.65116279069764,33805.34342888048,14.788907831445139,0.449,0.326,1.0
2147,249.65116279069764,33805.34342888048,14.788907831445139,0.449,0.326,1.0
2148,249.65116279069764,33805.34342888048,14.788907831445139,0.449,0.326,1.0
2149,249.65116279069764,33805.34342888048,14.788907831445139,0.449,0.326,1.0
2150,236.67391304347822,32405.00236294896,12.501346358306618,0.536,0.413,1.0
2151,236.67391304347822,32405.00236294896,12.501346358306618,0.536,0.413,1.0
2152,236.67391304347822,32405.00236294896,12.501346358306618,0.536,0.413,1.0
2153,236.67391304347822,32405.00236294896,12.501346358306618,0.536,0.413,1.0
2154,236.67391304347822,32405.00236294896,12.501346358306618,0.536,0.413,1.0
2155,237.4782608695652,32543.858223062376,12.645198346861996,0.533,0.413,1.0
2156,237.4782608695652,32543.858223062376,12.645198346861996,0.533,0.413,1.0
2157,237.4782608695652,32543.858223062376,12.645198346861996,0.533,0.413,1.0
2158,237.4782608695652,32543.858223062376,12.645198346861996,0.533,0.413,1.0
2159,237.4782608695652,32543.858223062376,12.645198346861996,0.533,0.413,1.0
2160,237.4782608695652,32543.858223062376,12.645198346861996,0.533,0.413,1.0
2161,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2162,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2163,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2164,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2165,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2166,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2167,236.13043478260872,33023.54820415878,12.592684013136667,0.508,0.391,1.0
2168,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2169,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2170,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2171,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2172,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2173,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2174,241.5333333333334,32961.22666666667,12.553193828550336,0.512,0.4,1.0
2175,191.0322580645162,18936.224765868883,18.798864546489256,0.437,0.371,1.0
2176,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2177,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2178,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2179,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2180,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2181,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2182,191.1774193548387,18822.081425598342,18.732160051493874,0.439,0.371,1.0
2183,191.06451612903223,18593.318418314255,18.780000039336493,0.437,0.371,1.0
2184,191.06451612903223,18593.318418314255,18.780000039336493,0.437,0.371,1.0
2185,191.06451612903223,18593.318418314255,18.780000039336493,0.437,0.371,1.0
2186,191.06451612903223,18593.318418314255,18.780000039336493,0.437,0.371,1.0
2187,191.06451612903223,18593.318418314255,18.780000039336493,0.437,0.371,1.0
2188,191.06451612903223,18593.318418314255,18.780000039336493,0.437,0.371,1.0
2189,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2190,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2191,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2192,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2193,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2194,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2195,191.6774193548386,19013.05723204994,18.881356846690686,0.437,0.371,1.0
2196,191.67741935483878,18992.21852237253,18.906891172900927,0.436,0.371,1.0
2197,191.67741935483878,18992.21852237253,18.906891172900927,0.436,0.371,1.0
2198,191.67741935483878,18992.21852237253,18.906891172900927,0.436,0.371,1.0
2199,191.67741935483878,18992.21852237253,18.906891172900927,0.436,0.371,1.0
2200,194.03846153846158,19676.57544378699,19.286189605738638,0.372,0.346,1.0
2201,194.03846153846158,19676.57544378699,19.286189605738638,0.372,0.346,1.0
2202,194.03846153846158,19676.57544378699,19.286189605738638,0.372,0.346,1.0
2203,194.03846153846158,19676.57544378699,19.286189605738638,0.372,0.346,1.0
2204,194.03846153846158,19676.57544378699,19.286189605738638,0.372,0.346,1.0
2205,194.03846153846158,19676.57544378699,19.286189605738638,0.372,0.346,1.0
2206,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2207,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2208,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2209,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2210,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2211,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2212,197.01886792452834,20126.056247775017,19.732195803922846,0.394,0.34,1.0
2213,200.03846153846158,20175.99852071006,19.693104521814664,0.392,0.327,1.0
2214,200.03846153846158,20175.99852071006,19.693104521814664,0.392,0.327,1.0
2215,200.03846153846158,20175.99852071006,19.693104521814664,0.392,0.327,1.0
2216,200.03846153846158,20175.99852071006,19.693104521814664,0.392,0.327,1.0
2217,200.03846153846158,20175.99852071006,19.693104521814664,0.392,0.327,1.0
2218,200.03846153846158,20175.99852071006,19.693104521814664,0.392,0.327,1.0
