,average value,variance 1D,y axis variance,pressure value ratio as 3,points ratio as 3
57,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
58,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
59,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
60,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
61,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
62,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
63,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
64,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
65,331.27999999999986,85712.36159999999,1.701363451262579,0.955,0.76
66,321.53846153846143,87053.17159763315,1.7155390215425472,0.953,0.731
67,321.53846153846143,87053.17159763315,1.7155390215425472,0.953,0.731
68,321.53846153846143,87053.17159763315,1.7155390215425472,0.953,0.731
69,321.53846153846143,87053.17159763315,1.7155390215425472,0.953,0.731
70,321.53846153846143,87053.17159763315,1.7155390215425472,0.953,0.731
71,321.53846153846143,87053.17159763315,1.7155390215425472,0.953,0.731
72,334.28,87122.6016,1.7292832307425565,0.957,0.76
73,334.28,87122.6016,1.7292832307425565,0.957,0.76
74,334.28,87122.6016,1.7292832307425565,0.957,0.76
75,334.28,87122.6016,1.7292832307425565,0.957,0.76
76,334.28,87122.6016,1.7292832307425565,0.957,0.76
77,334.28,87122.6016,1.7292832307425565,0.957,0.76
78,334.28,87122.6016,1.7292832307425565,0.957,0.76
79,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
80,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
81,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
82,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
83,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
84,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
85,335.64,87288.15040000001,1.7333141539346435,0.956,0.76
86,350.1666666666667,88320.55555555555,1.7248398266186793,0.957,0.75
87,350.1666666666667,88320.55555555555,1.7248398266186793,0.957,0.75
88,350.1666666666667,88320.55555555555,1.7248398266186793,0.957,0.75
89,350.1666666666667,88320.55555555555,1.7248398266186793,0.957,0.75
90,350.1666666666667,88320.55555555555,1.7248398266186793,0.957,0.75
91,350.1666666666667,88320.55555555555,1.7248398266186793,0.957,0.75
92,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
93,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
94,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
95,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
96,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
97,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
98,335.96,87337.79840000001,1.7767353086231512,0.95,0.72
99,346.5,88432.16666666666,1.767640270406023,0.949,0.708
100,346.5,88432.16666666666,1.767640270406023,0.949,0.708
101,346.5,88432.16666666666,1.767640270406023,0.949,0.708
102,346.5,88432.16666666666,1.767640270406023,0.949,0.708
103,346.5,88432.16666666666,1.767640270406023,0.949,0.708
104,346.5,88432.16666666666,1.767640270406023,0.949,0.708
105,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
106,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
107,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
108,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
109,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
110,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
111,374.22727272727275,86342.26652892561,1.7062690815885548,0.96,0.773
112,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
113,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
114,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
115,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
116,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
117,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
118,373.6363636363637,87036.14049586777,1.6914373434919279,0.962,0.773
119,373.54545454545456,87635.42975206613,1.6903318763026107,0.961,0.773
120,373.54545454545456,87635.42975206613,1.6903318763026107,0.961,0.773
121,373.54545454545456,87635.42975206613,1.6903318763026107,0.961,0.773
122,373.54545454545456,87635.42975206613,1.6903318763026107,0.961,0.773
123,373.54545454545456,87635.42975206613,1.6903318763026107,0.961,0.773
124,373.54545454545456,87635.42975206613,1.6903318763026107,0.961,0.773
125,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
126,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
127,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
128,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
129,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
130,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
131,388.9999999999999,86764.76190476192,1.6583329688186252,0.967,0.81
132,359.2608695652174,88889.32325141777,1.7315760118876633,0.957,0.739
133,359.2608695652174,88889.32325141777,1.7315760118876633,0.957,0.739
134,359.2608695652174,88889.32325141777,1.7315760118876633,0.957,0.739
