,0,1,2,3,4,5,6,7,8,9,10,11
51,0,0.03,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
52,0,0.03,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
53,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
54,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
55,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
56,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
57,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
58,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
59,0,0.059,0.265,0.647,0.853,0.882,0.941,0.971,1,,,
60,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
61,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
62,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
63,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
64,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
65,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
66,0,0.059,0.235,0.647,0.882,0.882,0.912,0.971,1,,,
67,0,0.091,0.273,0.697,0.879,0.879,0.909,0.97,1,,,
68,0,0.091,0.273,0.697,0.879,0.879,0.909,0.97,1,,,
69,0,0.091,0.273,0.697,0.879,0.879,0.909,0.97,1,,,
70,0,0.091,0.273,0.697,0.879,0.879,0.909,0.97,1,,,
71,0,0.091,0.273,0.697,0.879,0.879,0.909,0.97,1,,,
72,0,0.091,0.273,0.697,0.879,0.879,0.909,0.97,1,,,
73,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
74,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
75,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
76,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
77,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
78,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
79,0,0.059,0.235,0.647,0.853,0.882,0.941,0.971,1,,,
80,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
81,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
82,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
83,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
84,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
85,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
86,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
87,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
88,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
89,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
90,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
91,0,0.059,0.235,0.647,0.853,0.853,0.912,0.971,1,,,
